Kōrero,k o: - ɾ e - ɾ o
Kōrerorero,k o: - ɾ e - ɾ o - ɾ e - ɾ o
Kua,k u - a
Kuki,k u - k i
kaiako,k ai - a - k o
kaiāwhina,k ai - a: - f i - n a
kaihanga,k ai - h a - ŋ a
kaikōrero,k ai - k o: - ɾ e - ɾ o
kaimahi,k ai - m a - h i
kaitiaki,k ai - t i - a - k i
kaiwhakahaere,k ai - f a - k a - h ae - ɾ e
kau,k au
kaua,k au - a
kaupapa,k au - p a - p a
kaha,k a - h a
kape,k a - p e
karakia,k a - ɾ a - k i - a
kararehe,k a - ɾ a - ɾ e - h e
karanga,k a - ɾ a - ŋ a
karangahia,k a - ɾ a - ŋ a - h i - a
karawhiu,k a - ɾ a - f i - u
kare,k a - ɾ e
karihi,k a - ɾ i - h i
katoa,k a - t o - a
katoatia,k a - t o - a - t i - a
katohia,k a - t o - h i - a
kawa,k a - w a
kawana,k a - w a - n a
kawe,k a - w e
kanga,k a - ŋ a
kāinga,k a:i - ŋ a
kāore,k a:o - ɾ e
kāhore,k a: - h o - ɾ e
kāhui,k a: - h u - i
kāre,k a: - ɾ e
kāwanatanga,k a: - w a - n a - t a - ŋ a
kei,k ei
kerēme,k e - ɾ e: - m e
kē,k e:
kētia,k e: - t i - a
kikokiko,k i - k o - k i - k o
kimi,k i - m i
kino,k i - n o
kirihimete,k i - ɾ i - h i - m e - t e
kitea,k i - t e - a
kitenga,k i - t e - ŋ a
kiwa,k i - w a
kī,k i:
kīa,k i: - a
kīwaha,k i: - w a - h a
koa,k o - a
koe,k oe
koi,k oi
koia,k oi - a
koina,k oi - n a
koutou,k ou - t ou
kohatu,k o - h a - t u
konei,k o - n ei
kore,k o - ɾ e
korero,k o - ɾ e - ɾ o
kotahi,k o - t a - h i
kōkā,k o: - k a:
kōrero,k o: - ɾ e - ɾ o
kōrerohia,k o: - ɾ e - ɾ o - h i - a
kōrerotia,k o: - ɾ e - ɾ o - t i - a
kōti,k o: - t i
kua,k u - a
kukume,k u - k u - m e
